sexo,idade,RMSE,MAE,sMAPE
Ambos,0,0.0019037187325057208,0.0016505625515314207,14.511953981168352
Ambos,1,1.2311139471317351e-5,1.0892854139016653e-5,2.1495555767495906
Ambos,5,7.103940941796715e-6,5.5885680438025014e-06,2.5618745222119146
Ambos,10,1.556519942707405e-5,1.5269767858021652e-5,5.223918394001646
Ambos,15,1.2892846060011894e-4,9.076303125201172e-5,7.539490736578823
Ambos,20,1.007872886762101e-4,6.760359903142999e-5,4.113514881306727
Ambos,25,1.0938737276190071e-4,8.990327381454749e-5,5.584975094443979
Ambos,30,2.8625245991437467e-5,2.289807579114331e-5,1.3503217663203722
Ambos,35,1.5060264760170244e-5,1.3905651107324235e-5,0.671565276043475
Ambos,40,5.2915981896369744e-5,4.637822624191325e-5,1.6813323203004278
Ambos,45,1.0875375796240471e-4,9.7572027345199e-5,2.499388802383553
Ambos,50,1.0260153245456722e-4,9.487998246942892e-5,1.66556075586252
Ambos,55,2.7123388042471296e-4,2.5084749710719504e-4,2.9949906756235327
Ambos,60,1.3114215276438355e-4,9.825971920225012e-5,0.7921746058120298
Ambos,65,1.5305943519035336e-4,1.3216144027105008e-4,0.722490509027246
Ambos,70,3.0183252448444e-4,2.685086181733161e-4,1.0194941463239284
Ambos,75,3.977758774197375e-4,3.5610593072715746e-4,0.8296981155639697
Ambos,80,1.0260628231311127e-4,9.534087874717156e-5,0.1348436066129604
Ambos,85,0.001101369382113304,0.0010229609431241689,0.863396290302382
Ambos,90,0.003374041873252974,0.0030722010268525862,1.55950771758835
Homens,0,0.0017295445824858885,0.0014955596556839382,11.980253529145461
Homens,1,2.0712263281768705e-5,1.6232096199857518e-5,2.99135204278584
Homens,5,1.0480147071693192e-5,9.036671280487508e-6,3.749091556598488
Homens,10,7.333480404494853e-6,6.8813295066016684e-6,1.9393670412950215
Homens,15,2.9454260745277305e-4,2.2672000484443673e-4,11.416961192840287
Homens,20,2.0012099938596992e-4,1.3271228642134346e-4,4.883625836902012
Homens,25,1.903897095102788e-4,1.484777904295217e-4,5.803660258149807
Homens,30,5.5576322809134456e-5,4.205095901805005e-5,1.6588920668316074
Homens,35,6.205919574067644e-5,4.806513699995242e-5,1.6481912972448753
Homens,40,1.1186534835882296e-4,9.859874767457241e-5,2.616969556781634
Homens,45,2.299938524140197e-4,2.0892104763381891e-4,3.9799745768877175
Homens,50,1.7809252046565978e-4,1.674215462523494e-4,2.1986162713980733
Homens,55,4.025791206689631e-4,3.7591456950892416e-4,3.393555356948395
Homens,60,4.4682888518563586e-4,3.81374213347733e-4,2.328950292172908
Homens,65,2.4719237327595136e-4,2.3994561173781674e-4,1.0239665505754425
Homens,70,4.875197872532044e-4,4.424036056779983e-4,1.3119411857576042
Homens,75,5.691654536252374e-4,5.196649713817853e-4,0.9858575081939801
Homens,80,1.8992106919940317e-4,1.6196202565920553e-4,0.19505829545651798
Homens,85,0.0046675448988332344,0.004516251886302433,3.3191069317849036
Homens,90,0.009526631782258472,0.008803679471938157,4.1610817912445395
Mulheres,0,0.001493667439117517,0.0013008268372177952,12.298371864534671
Mulheres,1,8.893558240495972e-6,7.876388791991674e-6,1.6585541418793357
Mulheres,5,3.8840612251844745e-6,3.6426875112133413e-6,1.832222594941243
Mulheres,10,1.3604006303656147e-6,1.201973767752499e-6,0.49498724716494186
Mulheres,15,9.06627204842082e-6,8.031035706607503e-6,1.7880128654109833
Mulheres,20,1.3189733530855335e-5,1.2510160984267475e-5,2.2124262116990607
Mulheres,25,2.5443444868549005e-5,2.4473819868851636e-5,3.675956423706153
Mulheres,30,1.0256311485192141e-5,9.49154118711832e-6,1.0719905840571822
Mulheres,35,6.0312381477153903e-05,5.566603504735668e-5,4.362011706981046
Mulheres,40,3.388029625976787e-5,2.9184083455599172e-5,1.5957700177168042
Mulheres,45,3.11536631361236e-5,2.5645458043994907e-5,0.9599799461462609
Mulheres,50,3.884969045460638e-5,3.160461088773424e-5,0.8015482538151981
Mulheres,55,9.949285607579535e-5,8.683265132985898e-5,1.463186413031879
Mulheres,60,7.485589432983964e-5,7.438873598058149e-5,0.813865449577164
Mulheres,65,1.1787100256988178e-4,7.908482231389156e-5,0.5675136830110034
Mulheres,70,1.2145474993784633e-4,1.024320354129759e-4,0.5042759522050898
Mulheres,75,2.462122134440196e-4,2.0873049828167532e-4,0.5873985047030726
Mulheres,80,1.6279094784963199e-4,1.4538566808669842e-4,0.23332695850004087
Mulheres,85,0.001256355029279731,0.0011665665002039173,1.064993209049396
Mulheres,90,0.0020311439101681674,0.0020250142457287415,1.0734942529728069
